,Open,High,Low,Close,Adj Close,Volume,Year,Month
0,5.0,5.184,2.996,3.988,3.988,322879000,2010,7
1,4.1,4.436,3.478,3.896,3.896,75191000,2010,8
2,3.924,4.632,3.9,4.082,4.082,90229500,2010,9
3,4.138,4.374,4.0,4.368,4.368,32739000,2010,10
4,4.388,7.2,4.21,7.066,7.066,141575500,2010,11
5,7.174,7.284,5.0,5.326,5.326,184464500,2010,12
6,5.368,5.742,4.474,4.82,4.82,142100500,2011,1
7,4.862,5.098,4.222,4.778,4.778,146517500,2011,2
8,4.81,5.742,4.354,5.55,5.55,162816500,2011,3
9,5.49,5.636,4.84,5.52,5.52,149474500,2011,4
10,5.52,6.056,5.104,6.028,6.028,151744000,2011,5
11,6.0,6.3,5.1,5.826,5.826,198636500,2011,6
12,5.814,6.088,5.326,5.634,5.634,105510500,2011,7
13,5.734,5.84,4.3,4.948,4.948,136078500,2011,8
14,4.932,5.398,4.458,4.878,4.878,90107500,2011,9
15,4.99,6.0,4.586,5.874,5.874,108313000,2011,10
16,5.678,7.0,5.6,6.548,6.548,129234000,2011,11
17,6.514,7.0,5.206,5.712,5.712,105642500,2011,12
18,5.788,6.0,4.528,5.814,5.814,128049500,2012,1
19,5.814,6.994,5.8,6.682,6.682,115968000,2012,2
20,6.702,7.99,6.524,7.448,7.448,110817500,2012,3
21,7.466,7.694,6.2,6.626,6.626,113764500,2012,4
22,6.626,6.936,5.366,5.9,5.9,170926500,2012,5
23,5.706,6.9,5.422,6.258,6.258,130635500,2012,6
24,6.27,7.2,5.442,5.484,5.484,162717000,2012,7
25,5.598,6.26,5.104,5.704,5.704,122410500,2012,8
26,5.704,6.556,5.46,5.856,5.856,166475500,2012,9
27,5.9,6.02,5.372,5.626,5.626,88104500,2012,10
28,5.65,6.858,5.64,6.764,6.764,118804500,2012,11
29,6.778,7.16,6.55,6.774,6.774,108571500,2012,12
30,7.0,7.742,6.422,7.502,7.502,142323000,2013,1
31,7.634,8.0,6.76,6.966,6.966,221280000,2013,2
32,7.0,7.898,6.85,7.578,7.578,148275000,2013,3
33,8.472,11.636,8.042,10.798,10.798,407740500,2013,4
34,11.198,22.98,10.6,19.552,19.552,1656104500,2013,5
35,19.524,22.049999,17.65,21.472,21.472,895573500,2013,6
36,21.872,27.497999,20.9,26.856001,26.856001,1147641000,2013,7
37,27.0,34.599998,26.472,33.799999,33.799999,1296333000,2013,8
38,34.68,38.900002,31.702,38.674,38.674,856053000,2013,9
39,38.792,38.846001,30.6,31.988001,31.988001,1292274000,2013,10
40,32.599998,36.285999,23.219999,25.455999,25.455999,1541942500,2013,11
41,25.27,31.6,24.785999,30.086,30.086,988189500,2013,12
42,29.959999,37.200001,27.334,36.282001,36.282001,919661500,2014,1
43,36.577999,53.0,33.872002,48.962002,48.962002,1129770500,2014,2
44,47.452,52.0,40.599998,41.689999,41.689999,833428000,2014,3
45,41.804001,47.146,36.863998,41.577999,41.577999,826039000,2014,4
46,41.416,43.731998,35.444,41.554001,41.554001,674050500,2014,5
47,41.466,48.897999,39.849998,48.012001,48.012001,616813500,2014,6
48,48.492001,48.688,42.720001,44.66,44.66,539763500,2014,7
49,45.217999,54.400002,45.200001,53.939999,53.939999,574236000,2014,8
50,55.099998,58.284,48.023998,48.535999,48.535999,664241500,2014,9
51,48.439999,53.108002,43.464001,48.34,48.34,760262500,2014,10
52,48.599998,51.998001,45.700001,48.903999,48.903999,538609000,2014,11
53,48.231998,48.493999,38.529999,44.481998,44.481998,634731000,2014,12
54,44.574001,44.650002,37.0,40.720001,40.720001,451025500,2015,1
55,40.793999,45.096001,38.655998,40.667999,40.667999,533587500,2015,2
56,40.540001,41.237999,36.279999,37.754002,37.754002,614950500,2015,3
57,37.740002,47.75,37.209999,45.209999,45.209999,494725500,2015,4
58,45.987999,50.574001,44.049999,50.16,50.16,445639000,2015,5
59,50.282001,54.282001,49.136002,53.652,53.652,327365500,2015,6
60,54.222,57.330002,50.158001,53.23,53.23,400305000,2015,7
61,53.257999,54.200001,39.0,49.812,49.812,576320500,2015,8
62,48.068001,54.313999,47.394001,49.68,49.68,401440500,2015,9
63,49.501999,49.967999,40.400002,41.386002,41.386002,504060000,2015,10
64,41.784,46.916,41.16,46.051998,46.051998,392442000,2015,11
65,46.212002,48.726002,42.973999,48.001999,48.001999,299227500,2015,12
66,46.144001,46.276001,36.481998,38.240002,38.240002,396236000,2016,1
67,37.751999,39.903999,28.209999,38.386002,38.386002,668529000,2016,2
68,38.849998,47.976002,36.299999,45.953999,45.953999,514610000,2016,3
69,48.966,53.868,46.650002,48.152,48.152,677536500,2016,4
70,48.299999,48.638,40.731998,44.646,44.646,516537500,2016,5
71,44.296001,48.169998,37.574001,42.456001,42.456001,608364000,2016,6
72,41.228001,47.056,41.200001,46.958,46.958,370319500,2016,7
73,47.099998,47.326,41.73,42.402,42.402,311455500,2016,8
74,41.801998,42.220001,38.689999,40.806,40.806,353159500,2016,9
75,42.459999,43.133999,38.400002,39.546001,39.546001,460664000,2016,10
76,39.608002,39.869999,35.638,37.880001,37.880001,494430000,2016,11
77,37.650002,44.759998,36.0,42.737999,42.737999,439967000,2016,12
78,42.972,51.692001,42.192001,50.386002,50.386002,503398000,2017,1
79,50.610001,57.478001,48.402,49.998001,49.998001,597700000,2017,2
80,50.835999,56.400002,48.556,55.66,55.66,535176500,2017,3
81,57.380001,62.959999,56.916,62.813999,62.813999,584753000,2017,4
82,62.976002,68.578003,58.152,68.202003,68.202003,740231500,2017,5
83,68.800003,77.398003,66.842003,72.321999,72.321999,929755500,2017,6
84,74.047997,74.269997,60.625999,64.694,64.694,908200000,2017,7
85,64.599998,74.0,62.243999,71.18,71.18,684708000,2017,8
86,71.223999,77.921997,67.080002,68.220001,68.220001,557563500,2017,9
87,68.503998,72.599998,63.332001,66.306,66.306,615183500,2017,10
88,66.449997,66.522003,58.526001,61.77,61.77,744064000,2017,11
89,61.088001,69.487999,60.0,62.27,62.27,549423500,2017,12
90,62.400002,72.099998,61.136002,70.862,70.862,621357500,2018,1
91,70.199997,71.998001,58.952,68.612,68.612,545950000,2018,2
92,69.001999,69.734001,49.641998,53.226002,53.226002,786342500,2018,3
93,51.251999,61.900002,48.917999,58.779999,58.779999,951554000,2018,4
94,58.702,62.598,54.683998,56.945999,56.945999,777890500,2018,5
95,57.172001,74.746002,56.768002,68.589996,68.589996,1067125500,2018,6
96,72.014,72.956001,57.226002,59.627998,59.627998,861641000,2018,7
97,59.598,77.491997,57.639999,60.332001,60.332001,1386801000,2018,8
98,59.388,62.992001,50.450001,52.953999,52.953999,980377000,2018,9
99,61.153999,69.431999,49.554001,67.463997,67.463997,1431803500,2018,10
100,67.652,73.349998,65.0,70.096001,70.096001,665095500,2018,11
101,72.0,358.48999,58.818001,66.559998,66.559998,732256000,2018,12
102,61.220001,70.400002,55.855999,61.403999,61.403999,878260500,2019,1
103,61.084,64.848,57.754002,63.976002,63.976002,642750500,2019,2
104,61.388,61.425999,50.891998,55.972,55.972,1068967500,2019,3
105,56.523998,59.234001,46.226002,47.737999,47.737999,1153736500,2019,4
106,47.77,51.669998,36.82,37.032001,37.032001,1412994000,2019,5
107,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000,2019,6
108,46.042,53.214001,44.444,48.321999,48.321999,996683500,2019,7
109,48.529999,48.902,42.200001,45.122002,45.122002,668953000,2019,8
110,44.816002,50.700001,43.672001,48.174,48.174,678876500,2019,9
111,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000,2019,10
112,63.264,72.239998,61.852001,65.987999,65.987999,788854000,2019,11
113,65.879997,87.061996,65.449997,83.666,83.666,1035400000,2019,12
114,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500,2020,1
115,134.738007,193.798004,122.304001,133.598007,133.598007,2362934000,2020,2
116,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000,2020,3
117,100.800003,173.964005,89.279999,156.376007,156.376007,1907387500,2020,4
118,151.0,168.658005,136.608002,167.0,167.0,1363518000,2020,5
119,171.600006,217.537994,170.820007,215.962006,215.962006,1278863500,2020,6
120,216.600006,358.997986,216.100006,286.152008,286.152008,1893167500,2020,7
121,289.839996,500.140015,273.0,498.320007,498.320007,1557378400,2020,8
122,502.140015,502.48999,329.880005,429.01001,429.01001,1736284800,2020,9
123,440.76001,465.899994,379.109985,388.040009,388.040009,833666400,2020,10
124,394.0,607.799988,392.299988,567.599976,567.599976,782598800,2020,11
125,597.590027,718.719971,541.210022,705.669983,705.669983,1196346000,2020,12
126,719.460022,900.400024,717.190002,793.530029,793.530029,705694800,2021,1
127,814.289978,880.5,619.0,675.5,675.5,522857900,2021,2
128,690.109985,721.109985,539.48999,667.929993,667.929993,942452400,2021,3
129,688.369995,780.789978,659.419983,709.440002,709.440002,678539700,2021,4
130,703.799988,706.0,546.97998,625.219971,625.219971,625175800,2021,5
